(0, 0, 9; (0, 0, 36; (0, 0, 43; (0, 0, 61; (0, 0, 75; (0, 0, 87; (0, 0, 87; (0, 0, 120; (0, 0, 91; (0, 0, 97; (0, 0, 108; (0, 0, 116; (0, 0, 119; (0, 0, 131; (0, 0, 87; (0, 0, 126; (0, 0, 99; (0, 0, 115; (0, 0, 90; (0, 0, 113; (0, 0, 98; (0, 0, 70; (0, 0, 89; (0, 0, 242; (0, 0, 410; (0, 0, 390; (0, 0, 318; (0, -34, 337; (-8, 60, 582; (-24, 58, 771; (2, -8, 972; (0, -50, 1296; (2, -24, 442; (0, 0, 624; (-26, -18, 470; (0, 0, 80; (0, 0, 75; (0, 0, 83; (0, 0, 101; (0, 0, 90; (0, 0, 0)
(0, 0, 31; (0, 0, 31; (0, 0, 47; (0, 0, 54; (0, 0, 66; (0, 0, 79; (0, 0, 91; (0, 0, 90; (0, 0, 123; (0, 0, 90; (0, 0, 109; (0, 0, 118; (0, 0, 108; (0, 0, 94; (0, 0, 119; (0, 0, 94; (0, 0, 103; (0, 0, 107; (0, 0, 95; (0, 0, 95; (0, 0, 84; (0, 0, 67; (0, 0, 62; (0, 0, 77; (0, 0, 195; (0, 0, 149; (0, 0, 315; (0, 0, 368; (0, 0, 369; (0, 0, 551; (2, -6, 736; (2, -14, 990; (2, -40, 364; (0, 0, 371; (0, 0, 302; (0, 0, 80; (0, 0, 66; (0, 0, 80; (0, 0, 99; (0, 0, 85; (0, 0, 0)
(0, 0, 31; (0, 0, 44; (0, 0, 42; (0, 0, 56; (0, 0, 53; (0, 0, 72; (0, 0, 126; (0, 0, 110; (0, 0, 119; (0, 0, 112; (0, 0, 107; (0, 0, 117; (0, 0, 101; (0, 0, 107; (0, 0, 90; (0, 0, 107; (0, 0, 98; (0, 0, 105; (0, 0, 93; (0, 0, 98; (0, 0, 58; (0, 0, 81; (0, 0, 745; (0, 0, 204; (0, 0, 83; (0, 0, 97; (0, 0, 64; (0, 0, 101; (0, 0, 148; (0, 0, 249; (0, 0, 222; (0, 0, 470; (0, -2, 455; (0, 0, 153; (0, 0, 60; (0, 0, 77; (0, 0, 72; (0, 0, 83; (0, 0, 111; (0, 0, 88; (0, 0, 0)
(0, 0, 22; (0, 0, 31; (0, 0, 48; (0, 0, 56; (0, 0, 63; (0, 0, 71; (0, 0, 77; (0, 0, 95; (0, 0, 100; (0, 0, 122; (0, 0, 106; (0, 0, 97; (0, 0, 96; (0, 0, 111; (0, 0, 85; (0, 0, 106; (0, 0, 88; (0, 0, 91; (0, 0, 104; (0, 0, 65; (0, 0, 69; (0, 0, 72; (0, 0, 82; (0, 0, 95; (0, 0, 91; (0, 0, 82; (0, 0, 94; (0, 0, 83; (0, 0, 81; (0, 0, 190; (0, 0, 155; (0, 0, 171; (0, 0, 418; (0, 0, 92; (0, 0, 80; (0, 0, 86; (0, 0, 71; (0, 0, 99; (0, 0, 83; (0, 0, 141; (0, 0, 0)
(0, 0, 37; (0, 0, 53; (0, 0, 57; (0, 0, 57; (0, 0, 66; (0, 0, 77; (0, 0, 87; (0, 0, 112; (0, 0, 97; (0, 0, 112; (0, 0, 100; (0, 0, 71; (0, 0, 90; (0, 0, 111; (0, 0, 114; (0, 0, 110; (0, 0, 122; (0, 0, 98; (0, 0, 76; (0, 0, 95; (0, 0, 94; (0, 0, 154; (0, 0, 161; (0, 0, 78; (0, 0, 91; (0, 0, 95; (0, 0, 155; (0, 0, 450; (0, 0, 142; (0, 0, 139; (0, 0, 529; (0, 0, 261; (0, 0, 246; (0, 0, 69; (0, 0, 109; (0, 0, 89; (0, 0, 66; (0, 0, 82; (0, 0, 106; (0, 0, 100; (0, 0, 0)
(0, 0, 21; (0, 0, 22; (0, 0, 34; (0, 0, 75; (0, 0, 68; (0, 0, 70; (0, 0, 74; (0, 0, 80; (0, 0, 112; (0, 0, 158; (0, 0, 135; (0, 0, 118; (0, 0, 83; (0, 0, 89; (0, 0, 106; (0, 0, 76; (0, 0, 67; (0, 0, 68; (0, 0, 109; (0, 0, 100; (0, 0, 129; (0, 0, 101; (0, 0, 167; (0, 0, 151; (0, 0, 100; (0, 0, 110; (0, 0, 120; (0, 0, 499; (0, 0, 644; (0, 0, 573; (0, 0, 350; (0, 0, 343; (0, 0, 236; (0, 0, 75; (0, 0, 102; (0, 0, 72; (0, 0, 80; (0, 0, 97; (0, 0, 90; (0, 0, 127; (0, 0, 0)
(0, 0, 88; (0, 0, 67; (0, 0, 108; (0, 0, 106; (0, 0, 97; (0, 0, 107; (0, 0, 289; (0, 0, 523; (0, 24, 772; (32, 6, 1027; (62, 26, 747; (-40, -4, 539; (0, 0, 861; (0, 0, 192; (0, 0, 82; (0, 0, 121; (0, 0, 174; (0, 0, 299; (0, 0, 176; (0, 0, 161; (0, 0, 100; (0, 0, 41; (0, 0, 122; (-6, 10, 532; (-4, 6, 956; (0, 0, 248; (0, 0, 186; (0, 0, 409; (4, -2, 477; (0, -2, 696; (0, 0, 212; (6, -14, 322; (0, 0, 510; (0, 0, 149; (0, 0, 66; (0, 0, 61; (0, 0, 73; (0, 0, 104; (0, 0, 88; (0, 0, 83; (0, 0, 0)
(0, 0, 91; (0, 0, 118; (-2, -2, 156; (0, 0, 115; (0, 0, 108; (0, 0, 125; (-42, 54, 421; (62, 28, 596; (44, 22, 731; (62, 30, 1070; (62, 44, 572; (52, 30, 1271; (0, 0, 1569; (0, 0, 239; (0, 0, 88; (0, 0, 337; (0, 0, 398; (0, 0, 421; (0, 0, 237; (0, 0, 242; (0, 0, 84; (0, 0, 90; (0, 0, 238; (-2, 10, 472; (-2, 6, 381; (0, 8, 584; (0, 0, 172; (0, 0, 551; (0, 0, 228; (0, 0, 514; (0, 0, 162; (0, 0, 328; (0, 0, 274; (0, 0, 67; (0, 0, 78; (0, 0, 63; (0, 0, 100; (0, 0, 99; (0, 0, 91; (0, 0, 104; (0, 0, 0)
(0, 0, 499; (0, 0, 194; (0, 0, 186; (0, 0, 307; (0, 0, 410; (0, -2, 214; (0, 0, 118; (0, 0, 382; (60, -12, 1762; (-54, 0, 268; (-60, -8, 212; (-30, 44, 449; (0, 0, 789; (0, 0, 602; (0, 0, 711; (-34, -2, 990; (-14, 2, 637; (0, 0, 463; (0, 0, 518; (0, 0, 448; (0, 0, 411; (0, 0, 110; (0, 0, 417; (-36, 30, 633; (2, 2, 992; (2, 2, 602; (0, 0, 169; (0, 0, 286; (0, 0, 412; (-38, 50, 312; (0, 0, 349; (0, 0, 155; (0, 0, 112; (0, 0, 93; (0, 0, 77; (0, 0, 69; (0, 0, 85; (0, 0, 73; (0, 0, 93; (0, 0, 86; (0, 0, 0)
(0, 0, 344; (0, 0, 386; (32, 34, 251; (-2, -2, 338; (0, 0, 548; (0, 0, 306; (0, 0, 124; (0, 0, 97; (26, 28, 1053; (30, 24, 1184; (-30, 46, 565; (-40, 28, 235; (-48, 30, 419; (50, -28, 652; (-6, -4, 989; (0, 0, 1186; (0, 0, 731; (0, 0, 533; (0, 0, 381; (0, 0, 476; (0, 0, 239; (0, 0, 106; (0, 0, 250; (-6, -30, 807; (4, 28, 998; (0, 0, 1147; (38, 2, 395; (2, -2, 453; (-32, 34, 403; (0, 0, 331; (0, 0, 277; (0, 0, 88; (0, 0, 83; (0, 0, 98; (0, 0, 74; (0, 0, 81; (0, 0, 73; (0, 0, 83; (0, 0, 78; (0, 0, 98; (0, 0, 0)
